Title                                                                                 | Meta Score | User Score
Mystery Case Files: The Malgrave Incident                                             |       65.0 |        7.4
Children of Mana                                                                      |       65.0 |        6.4
Custom Robo                                                                           |       65.0 |        8.1
Dillon's Rolling Western                                                              |       65.0 |        7.6
New Play Control! Mario Power Tennis                                                  |       65.0 |        7.6
Yoshi's Story                                                                         |       65.0 |        7.4
Pikmin 2                                                                              |       65.0 |        8.6
Wii Party U                                                                           |       65.0 |        7.1
Dedede's Drum Dash Deluxe                                                             |       65.0 |        7.3
Kirby Fighters 2                                                                      |       65.0 |        7.9
Dr. Luigi                                                                             |       65.0 |        7.3
Mario & Sonic at the Rio 2016 Olympic Games                                           |       65.0 |        7.7
Mario Sports Mix                                                                      |       64.0 |        7.9
Pokemon XD: Gale of Darkness                                                          |       64.0 |        8.2
Pokemon Quest                                                                         |       64.0 |        6.0
Mario Party 7                                                                         |       64.0 |        7.7
Tank Troopers                                                                         |       64.0 |        6.0
Yoshi's New Island                                                                    |       64.0 |        6.1
Metroid Prime: Federation Force                                                       |       64.0 |        5.4
Little Town Hero                                                                      |       64.0 |        4.7
Pokemon Cafe Mix                                                                      |       64.0 |        6.2
Wii Music                                                                             |       63.0 |        4.8
Freakyforms Deluxe: Your Creations, Alive!                                            |       63.0 |        7.5
Fire Emblem: Shadow Dragon & the Blade of Light                                       |       63.0 |        7.8
Diddy Kong Racing DS                                                                  |       63.0 |        7.0
Mario Sports Superstars                                                               |       62.0 |        7.3
Odama                                                                                 |       62.0 |        7.6
Mario Party 8                                                                         |       62.0 |        6.6
Kersploosh!                                                                           |       62.0 |        7.0
LEGO City Undercover: The Chase Begins                                                |       62.0 |        6.7
Metal Torrent                                                                         |       62.0 |        9.6
Go Vacation                                                                           |       62.0 |        7.7
PokePark Wii: Pikachu's Adventure                                                     |       62.0 |        7.7
Mario Pinball Land                                                                    |       62.0 |        4.2
Pokemon Mystery Dungeon: Blue Rescue Team                                             |       62.0 |        8.0
Sudoku Gridmaster                                                                     |       62.0 |        6.0
Game & Wario                                                                          |       61.0 |        6.7
Kirby Air Ride                                                                        |       61.0 |        8.2
Yoshi Topsy-Turvy                                                                     |       60.0 |        7.1
SiNG Party                                                                            |       60.0 |        6.1
Wii Play: Motion                                                                      |       60.0 |        6.4
Mario & Sonic at the Rio 2016 Olympic Games                                           |       60.0 |        6.9
Pokemon Mystery Dungeon: Explorers of Time                                            |       60.0 |        8.4
Wario: Master of Disguise                                                             |       60.0 |        7.3
PokePark 2: Wonders Beyond                                                            |       60.0 |        7.7
Mario Party: The Top 100                                                              |       59.0 |        6.2
Flash Focus: Vision Training in Minutes a Day                                         |       59.0 |        3.8
Mario Kart Tour                                                                       |       59.0 |        4.2
Chibi-Robo! Zip Lash                                                                  |       59.0 |        5.1
Pokemon Mystery Dungeon: Gates to Infinity                                            |       59.0 |        6.3
Pokedex 3D Pro                                                                        |       59.0 |        4.3
Pokemon Mystery Dungeon: Explorers of Darkness                                        |       59.0 |        8.6
Pokemon Rumble                                                                        |       59.0 |        8.2
Classic NES Series: Metroid                                                           |       58.0 |        8.2
Pokemon Rumble World                                                                  |       58.0 |        6.2
Wii Play                                                                              |       58.0 |        6.6
Steel Diver                                                                           |       58.0 |        6.3
Mario Tennis: Ultra Smash                                                             |       58.0 |        5.1
1-2-Switch                                                                            |       58.0 |        4.8
Hey You, Pikachu!                                                                     |       57.0 |        6.3
Kirby Battle Royale                                                                   |       57.0 |        7.0
Fossil Fighters: Frontier                                                             |       57.0 |        5.3
Team Kirby Clash Deluxe                                                               |       57.0 |        6.5
Mario Party: Island Tour                                                              |       57.0 |        5.9
Dynasty Warriors Advance                                                              |       56.0 |        7.6
Everybody 1-2-Switch!                                                                 |       56.0 |        5.4
Pokemon Shuffle                                                                       |       56.0 |        6.1
Pokemon Rumble Blast                                                                  |       56.0 |        6.8
Nintendo Badge Arcade                                                                 |       56.0 |        4.0
3D Classics: Xevious                                                                  |       56.0 |        5.8
Samurai Warriors 3                                                                    |       55.0 |        7.6
Classic NES Series: Donkey Kong                                                       |       55.0 |        6.1
Mario & Sonic at the Sochi 2014 Olympic Winter Games                                  |       55.0 |        6.5
Pokemon Channel                                                                       |       55.0 |        6.4
Pokemon Mystery Dungeon: Explorers of Sky                                             |       54.0 |        9.0
Spirit Camera: The Cursed Memoir                                                      |       54.0 |        6.4
Pokemon Dream Radar                                                                   |       54.0 |        5.9
Mario Party Advance                                                                   |       54.0 |        4.8
Classic NES Series: Pac-Man                                                           |       53.0 |        7.8
Flip Wars                                                                             |       53.0 |        5.9
WarioWare: Snapped!                                                                   |       53.0 |        4.1
Pokemon Battle Revolution                                                             |       53.0 |        6.6
Paper Airplane Chase                                                                  |       51.0 |        7.2
Disney's Magical Mirror Starring Mickey Mouse                                         |       50.0 |        7.6
Pokemon Rumble U                                                                      |       49.0 |        5.2
Chibi-Robo! Photo Finder                                                              |       49.0 |        7.6
FlingSmash                                                                            |       48.0 |        7.4
My Pokemon Ranch                                                                      |       47.0 |        5.3
Pokemon Dash                                                                          |       46.0 |        5.3
Animal Crossing: amiibo Festival                                                      |       46.0 |        4.0
Donkey Kong: Barrel Blast                                                             |       46.0 |        6.6
AquaSpace                                                                             |       45.0 |        5.6
Devil's Third                                                                         |       43.0 |        6.6
Tenchu: Dark Secret                                                                   |       37.0 |        5.6
3D Classics: Urban Champion                                                           |       37.0 |        4.8
